    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 08.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    1423      PL20*600      4     S235JR          600       0.8        56.5
    1426      PL16*683      1     S235JR          917       1.1        69.1
    1427      PL20*390      3     S235JR          455       0.4        27.9
    1428      PL5*165       4     S235JR          350       0.1         2.3
    1431      PL16*633      2     S235JR          922       1.1        63.6
    1433      PL16*340      1     S235JR          390       0.3        16.7
    1434      PL16*683      1     S235JR          683       0.9        56.4
    1435      PL16*564      2     S235JR         1004       1.1        64.9
    1449      PL20*500      8     S235JR          500       0.5        39.2
    Hormi***  700*400       3     Conc***        8760      19.8      5886.7
    Hormi***  700*250       1     Conc***        3800       7.6      1596.0
    Hormi***  700*150       2     Conc***        2430       4.3       612.3
    Hormi***  700*150       2     Conc***        6080      10.5      1532.2
    Hormi***  700*400       2     Conc***        7250      16.5      4872.0
    Hormi***  []250*80      1     Conc***        3800       3.9       496.1
    Hormi***  950*600       1     Conc***       13225      42.1     18091.4
    Hormi***  950*600       1     Conc***        7582      24.6     10371.8
    Hormi***  950*600       1     Conc***       13219      42.1     18083.1
    Hormi***  950*600       1     Conc***        8516      27.5     11650.2
    Hormi***  950*600       1     Conc***       13222      42.1     18087.1
    Hormi***  950*600       1     Conc***        7650      24.9     10465.2
    Hormi***  700*600       1     Conc***       13166      35.1     13271.5
    Hormi***  700*600       1     Conc***        8516      23.0      8584.1
    Hormi***  700*400       1     Conc***        8500      19.3      5712.0
    Hormi***  950*800       1     Conc***        7802      28.8     14230.4
    Hormi***  950*800       1     Conc***        8760      32.2     15978.2
    Hormi***  D1400         8     C20/25        40450     180.9    149170.1
    Hormi***  CUT500*8500   4     C20/25       101250    1831.0   1032750.0
    Hormi***  CUT400*8760   2     C20/25       101250    1861.9    851472.0
    Hormi***  CUT400*7250   2     C20/25       101250    1554.9    704700.0
