    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 06.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    1053      PL10*110      6     S235JR          315       0.1         2.7
    1108      PL19*190      2     S235JR         1321       0.6        37.3
    1110      PL19*456      8     S235JR         1981       1.2        83.7
    1252      PL16*1080     2     S235JR         1381       2.1       124.8
    1274      PL19*200      1     S235JR          697       0.3        20.8
    1275      PL19*200      3     S235JR          697       0.3        20.8
    1276      PL19*200      2     S235JR          807       0.4        24.1
    1278      PL19*200      1     S235JR          801       0.4        23.9
    1279      PL19*192      2     S235JR         1208       0.5        34.5
    1280      PL19*552      2     S235JR         1805       1.1        76.4
    1282      PL19*1276     2     S235JR         1536       1.3        90.1
    1287      PL19*1270     2     S235JR         1270       1.2        79.1
    1290      PL19*190      2     S235JR         1321       0.6        37.3
    1291      PL19*736      2     S235JR         1200       0.8        54.0
    1341      PL19*457      4     S235JR         1962       1.2        81.9
    1374      PL19*350      2     S235JR         1078       0.6        40.8
    Hormi***  700*400       4     Conc***        8760      19.8      5886.7
    Hormi***  700*250       1     Conc***        3800       7.6      1596.0
    Hormi***  700*150       2     Conc***        2430       4.3       612.3
    Hormi***  700*150       2     Conc***        6080      10.5      1532.2
    Hormi***  700*400       1     Conc***        7250      16.5      4872.0
    Hormi***  []250*80      1     Conc***        3800       3.9       496.1
    Hormi***  700*600       1     Conc***       13538      36.0     13646.7
    Hormi***  700*600       2     Conc***       13222      35.2     13327.3
    Hormi***  700*600       1     Conc***       13261      35.3     13366.7
    Hormi***  700*600       2     Conc***        8678      23.4      8747.3
    Hormi***  700*600       1     Conc***        7810      21.1      7872.3
    Hormi***  700*600       1     Conc***        8445      22.8      8512.7
    Hormi***  700*600       1     Conc***        7600      20.6      7660.8
    Hormi***  700*400       1     Conc***        7851      17.8      5276.2
    Hormi***  700*600       1     Conc***        8451      22.8      8518.1
    Hormi***  D1400         8     C20/25        40450     180.9    149170.1
    Hormi***  CUT500*8500   4     C20/25       101250    1831.0   1032750.0
    Hormi***  CUT400*8760   2     C20/25       101250    1861.9    851472.0
    Hormi***  CUT400*7250   2     C20/25       101250    1554.9    704700.0
    Hormi***  CUT500*7600   1     C20/25       101250    1647.8    923400.0
    Hormi***  D700          4     Conc***       23900      53.3     21999.8
    b/124     IPE240        1     S235JR         2874       2.7        88.2
    b/140     IPE160        6     S235JR          314       0.2         4.9
    b/144     IPE160        27    S235JR          522       0.3         8.2
    b/146     IPE160        3     S235JR          402       0.3         6.3
    b/150     UPN160        2     S235JR         4098       2.3        77.2
    b/157     IPE160        2     S235JR          308       0.2         4.9
    b/158     IPE160        1     S235JR          398       0.2         6.3
    b/161     IPE160        1     S235JR          314       0.2         4.9
    b/162     IPE160        12    S235JR          527       0.3         8.3
    b/164     IPE160        1     S235JR          273       0.2         4.3
    b/183     IPE160        3     S235JR          308       0.2         4.9
    b/184     IPE160        6     S235JR          398       0.2         6.3
    b/185     IPE160        4     S235JR          323       0.2         5.1
    b/220     IPE240        2     S235JR         2053       1.9        63.0
    b/221     IPE450        1     S235JR         8935      14.3       692.9
    b/232     IPE450        1     S235JR         8170      13.1       633.6
    b/258     IPE450        1     S235JR          826       1.3        64.1
    b/260     IPE450        1     S235JR         6246      10.0       484.5
    b/261     HI1130-12***  5     S235JR        10988      36.2      1865.2
    b/262     HI1130-12***  1     S235JR        10914      36.0      1852.6
    b/263     HI1130-13***  1     S235JR         2615       8.5       544.8
    b/264     HI1130-13***  1     S235JR         8068      26.1      1680.9
    b/265     HI1130-13***  1     S235JR         6898      22.4      1437.2
    b/267     HI1130-13***  1     S235JR         6908      22.4      1439.3
    b/268     IPE330        1     S235JR         8475      10.6       416.5
    b/269     IPE330        1     S235JR         8721      10.9       428.6
    b/270     IPE330        1     S235JR         8968      11.2       440.7
    b/271     HEA600        1     S235JR         6476      14.9      1151.5
    b/272     IPE450        1     S235JR         8117      13.0       629.5
    b/273     IPE450        1     S235JR         6384      10.2       495.2
    b/274     IPE450        1     S235JR        10378      16.7       804.9
    b/275     IPE270        1     S235JR         6499       6.8       234.2
    b/276     IPE270        1     S235JR         6626       6.9       238.8
    b/277     HEA450        1     S235JR         8169      16.4      1141.5
    b/278     HEA450        1     S235JR         8141      16.4      1137.5
    b/281     IPE450        1     S235JR         8099      13.0       628.1
    b/282     HEA450        1     S235JR         8093      16.3      1130.8
    b/283     HEA450        1     S235JR          902       1.8       126.0
    b/284     HEA500        1     S235JR         5077      10.7       787.1
    b/285     HEA500        1     S235JR         9254      19.5      1434.7
    b/286     HEA500        1     S235JR         2826       6.0       438.1
    b/287     HEA500        1     S235JR         5078      10.7       787.2
    b/288     HEA500        1     S235JR         9259      19.5      1435.4
    b/289     IPE450        1     S235JR         7754      12.4       601.4
    b/291     IPE270        1     S235JR         6926       7.2       249.5
    b/292     IPE270        1     S235JR         6956       7.2       250.6
    b/294     IPE270        1     S235JR         6900       7.2       248.6
    b/295     IPE270        1     S235JR         3746       3.9       135.0
    b/296     IPE270        1     S235JR         5334       5.6       192.2
    b/297     IPE270        1     S235JR         6818       7.1       245.7
    b/298     IPE450        1     S235JR         6978      11.2       541.2
    b/300     IPE270        1     S235JR         6507       6.8       234.5
    b/301     IPE270        1     S235JR         6387       6.6       230.1
    b/302     IPE270        1     S235JR         6150       6.4       221.6
    b/303     IPE270        3     S235JR         6252       6.5       225.3
    b/306     IPE270        2     S235JR         6197       6.5       223.3
    b/307     IPE270        1     S235JR         6134       6.4       221.0
    b/308     IPE270        1     S235JR         6179       6.4       222.6
    b/309     IPE450        1     S235JR          623       1.0        48.3
    b/310     IPE450        1     S235JR         6226      10.0       482.9
    b/311     IPE330        1     S235JR         9108      11.4       447.6
    b/312     IPE330        1     S235JR         8881      11.1       436.4
    b/313     IPE330        1     S235JR         8655      10.9       425.3
    b/314     IPE330        1     S235JR         7875       9.9       387.0
    b/315     IPE330        1     S235JR         7967      10.0       391.5
    b/316     IPE240        2     S235JR          975       0.9        29.9
    b/317     IPE240        2     S235JR         6653       6.1       204.1
    b/322     IPE330        1     S235JR         8821      11.1       433.5
    b/323     HEA240        1     S235JR         5131       7.0       309.5
    b/324     HEA240        1     S235JR         5115       7.0       308.5
    b/326     IPE450        1     S235JR         8157      13.1       632.7
    b/327     IPE450        2     S235JR         8227      13.2       638.1
    b/328     IPE450        1     S235JR         8172      13.1       633.8
    b/329     IPE450        1     S235JR         8160      13.1       632.9
    b/330     IPE450        1     S235JR         8163      13.1       633.1
