    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 07.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    1380      PL10*147      9     S235JR          220       0.1         2.0
    1386      PL10*110      88    S235JR          260       0.1         2.2
    1400      PL10*176      21    S235JR          373       0.1         3.5
    1401      PL10*176      47    S235JR          373       0.1         3.5
    1402      PL10*189      16    S235JR          516       0.1         5.0
    1403      PL10*189      1     S235JR          516       0.1         5.0
    1404      PL10*189      13    S235JR          516       0.1         5.0
    1405      PL10*147      1     S235JR          220       0.1         2.0
    1406      PL10*176      1     S235JR          373       0.1         3.5
    1407      PL10*154      5     S235JR          250       0.1         2.3
    1409      PL10*154      7     S235JR          250       0.1         2.3
    Hormi***  700*400       4     Conc***        8760      19.8      5886.7
    Hormi***  700*250       1     Conc***        3800       7.6      1596.0
    Hormi***  700*150       2     Conc***        2430       4.3       612.3
    Hormi***  700*150       2     Conc***        6080      10.5      1532.2
    Hormi***  700*400       2     Conc***        7250      16.5      4872.0
    Hormi***  700*400       1     Conc***        7601      17.3      5108.2
    Hormi***  []250*80      1     Conc***        3800       3.9       496.1
    Hormi***  950*600       2     Conc***        8500      27.5     11628.0
    Hormi***  950*600       1     Conc***       13225      42.1     18091.4
    Hormi***  950*600       1     Conc***        7582      24.6     10371.8
    Hormi***  950*600       1     Conc***       13219      42.1     18083.1
    Hormi***  950*600       1     Conc***        8516      27.5     11650.2
    Hormi***  950*600       1     Conc***       13222      42.1     18087.1
    Hormi***  950*600       1     Conc***        7650      24.9     10465.2
    Hormi***  700*600       1     Conc***        8516      23.0      8584.1
    Hormi***  700*400       1     Conc***        8500      19.3      5712.0
    Hormi***  800*400       1     Conc***        9700      23.9      7449.5
    Hormi***  700*600       1     Conc***       13285      35.4     13391.1
    Hormi***  D1400         8     C20/25        40450     180.9    149170.1
    Hormi***  CUT500*8500   4     C20/25       101250    1831.0   1032750.0
    Hormi***  CUT400*8760   2     C20/25       101250    1861.9    851472.0
    Hormi***  CUT400*7250   2     C20/25       101250    1554.9    704700.0
    Hormi***  CUT500*7600   1     C20/25       101250    1647.8    923400.0
    Hormi***  D700          4     Conc***       23900      53.3     21999.8
    b/62      []200*100*4   3     S235JR         3300       2.0        60.5
    b/318     []200*100*4   1     S235JR         2870       1.7        52.6
    b/319     []200*100*4   1     S235JR         2875       1.7        52.7
    b/370     IPE240        3     S235JR          750       0.7        23.0
    b/383     IPE400        1     S235JR         1717       2.5       113.9
    b/384     IPE400        1     S235JR         5876       8.6       389.8
    b/385     IPE400        1     S235JR         8293      12.2       550.1
    b/386     IPE400        1     S235JR         6712       9.8       445.2
    b/387     IPE400        2     S235JR         6004       8.8       398.3
    b/388     IPE270        1     S235JR         6252       6.5       225.3
    b/389     IPE400        1     S235JR         6079       8.9       403.2
    b/390     IPE270        1     S235JR         2197       2.3        79.2
    b/391     IPE270        1     S235JR         2184       2.3        78.7
    b/392     IPE270        1     S235JR         2300       2.4        82.9
    b/394     IPE270        1     S235JR         2591       2.7        93.4
    b/395     IPE270        1     S235JR         2713       2.8        97.8
    b/396     IPE270        1     S235JR         2753       2.9        99.2
    b/397     IPE270        1     S235JR         2670       2.8        96.2
    b/398     IPE270        1     S235JR         2764       2.9        99.6
    b/399     IPE400        1     S235JR         6231       9.1       413.3
    b/400     IPE400        1     S235JR         6483       9.5       430.0
    b/401     IPE400        1     S235JR         3877       5.7       257.2
    b/402     IPE400        1     S235JR         8365      12.3       554.8
    b/404     IPE400        1     S235JR         6805      10.0       451.4
    b/405     IPE400        1     S235JR         7654      11.2       507.7
    b/406     IPE400        1     S235JR         6299       9.2       417.8
    b/407     IPE400        1     S235JR         5371       7.9       356.3
    b/409     IPE400        1     S235JR         7724      11.3       512.4
    b/414     IPE400        1     S235JR         4126       6.1       273.7
