    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 07.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    1445      PL10*181      4     S235JR          279       0.1         3.3
    1446      PL10*181      1     S235JR          279       0.1         3.3
    1447      PL10*181      1     S235JR          279       0.1         3.8
    1448      PL10*174      1     S235JR          278       0.1         3.4
    Hormi***  700*400       3     Conc***        8760      19.8      5886.7
    Hormi***  700*250       1     Conc***        3800       7.6      1596.0
    Hormi***  700*150       2     Conc***        2430       4.3       612.3
    Hormi***  700*150       2     Conc***        6080      10.5      1532.2
    Hormi***  700*400       2     Conc***        7250      16.5      4872.0
    Hormi***  []250*80      1     Conc***        3800       3.9       496.1
    Hormi***  950*600       1     Conc***       13225      42.1     18091.4
    Hormi***  950*600       1     Conc***        7582      24.6     10371.8
    Hormi***  950*600       1     Conc***        7650      24.9     10465.2
    Hormi***  700*400       1     Conc***        8500      19.3      5712.0
    Hormi***  950*800       1     Conc***        7802      28.8     14230.4
    Hormi***  950*800       1     Conc***        8760      32.2     15978.2
    Hormi***  950*1000      1     Conc***       13219      53.5     30138.5
    Hormi***  D1400         8     C20/25        40450     180.9    149170.1
    Hormi***  CUT500*8500   4     C20/25       101250    1831.0   1032750.0
    Hormi***  CUT400*8760   2     C20/25       101250    1861.9    851472.0
    Hormi***  CUT400*7250   2     C20/25       101250    1554.9    704700.0
    Hormi***  CUT500*7600   1     C20/25       101250    1647.8    923400.0
    Hormi***  D1400         6     C20/25        12000      55.8     44253.2
    Hormi***  D1100         14    C20/25        56000     195.3    127456.8
    b/62      []200*100*4   3     S235JR         3300       2.0        60.5
    b/318     []200*100*4   1     S235JR         2870       1.7        52.6
    b/319     []200*100*4   1     S235JR         2875       1.7        52.7
    b/493     IPE240        2     S235JR         1816       1.7        55.7
    b/494     IPE240        2     S235JR         2736       2.5        84.0
    b/496     IPE240        1     S235JR         1843       1.7        56.5
    b/497     IPE240        1     S235JR         1820       1.7        55.8
    b/499     IPE270        3     S235JR         6857       7.1       247.1
    b/503     IPE270        1     S235JR         7122       7.4       256.6
    b/506     IPE270        1     S235JR         7120       7.4       256.5
    b/507     IPE270        1     S235JR         3150       3.3       113.5
    b/508     IPE270        3     S235JR          968       1.0        34.9
    b/510     IPE330        1     S235JR         7130       8.9       350.4
    b/511     IPE330        1     S235JR         9068      11.4       445.6
    b/512     IPE330        1     S235JR         7127       8.9       350.2
    b/513     IPE300        2     S235JR         5880       6.8       248.3
    b/526     IPE270        1     S235JR         4570       4.8       164.6
    b/533     IPE270        1     S235JR         9070       9.4       326.8
    b/534     IPE270        2     S235JR         9085       9.5       327.4
    b/535     IPE330        1     S235JR         7150       9.0       351.4
    b/540     IPE240        2     S235JR         1950       1.8        59.8
    b/541     IPE240        2     S235JR         1967       1.8        60.4
    b/542     IPE240        1     S235JR         1741       1.6        53.4
    b/543     IPE240        1     S235JR         1755       1.6        53.8
    b/544     IPE240        2     S235JR          310       0.3         9.5
    b/545     IPE240        1     S235JR         1750       1.6        53.7
    b/546     IPE240        2     S235JR         1763       1.6        54.1
    b/547     IPE270        1     S235JR         1982       2.1        71.4
    b/548     IPE240        1     S235JR         1775       1.6        54.5
    b/549     IPE240        1     S235JR         1865       1.7        57.2
    b/550     IPE240        2     S235JR         1769       1.6        54.3
    b/552     IPE270        1     S235JR          820       0.9        29.6
    b/553     IPE270        2     S235JR         3911       4.1       140.9
    b/554     IPE270        1     S235JR         3900       4.1       140.5
