    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 08.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    Hormi***  700*400       3     Conc***        8760      19.8      5886.7
    Hormi***  700*250       1     Conc***        3800       7.6      1596.0
    Hormi***  700*150       2     Conc***        2430       4.3       612.3
    Hormi***  700*150       2     Conc***        6080      10.5      1532.2
    Hormi***  700*400       2     Conc***        7250      16.5      4872.0
    Hormi***  []250*80      1     Conc***        3800       3.9       496.1
    Hormi***  950*600       1     Conc***       13225      42.1     18091.4
    Hormi***  950*600       1     Conc***        7582      24.6     10371.8
    Hormi***  950*600       1     Conc***       13219      42.1     18083.1
    Hormi***  950*600       1     Conc***        8516      27.5     11650.2
    Hormi***  950*600       1     Conc***        7650      24.9     10465.2
    Hormi***  700*600       1     Conc***       13166      35.1     13271.5
    Hormi***  700*600       1     Conc***        8516      23.0      8584.1
    Hormi***  700*400       1     Conc***        8500      19.3      5712.0
    Hormi***  950*800       1     Conc***        7802      28.8     14230.4
    Hormi***  950*800       1     Conc***        8760      32.2     15978.2
    Hormi***  950*1200      2     Conc***       55797     242.2    152659.7
    Hormi***  950*1000      1     Conc***       13222      53.5     30145.2
    Hormi***  D1400         8     C20/25        40450     180.9    149170.1
    Hormi***  CUT500*8500   4     C20/25       101250    1831.0   1032750.0
    Hormi***  CUT400*8760   2     C20/25       101250    1861.9    851472.0
    Hormi***  CUT400*7250   2     C20/25       101250    1554.9    704700.0
    Hormi***  CUT500*7600   1     C20/25       101250    1647.8    923400.0
    Hormi***  D1400         6     C20/25        12000      55.8     44253.2
    b/62      []200*100*4   3     S235JR         3300       2.0        60.5
    b/318     []200*100*4   1     S235JR         2870       1.7        52.6
    b/319     []200*100*4   1     S235JR         2875       1.7        52.7
    b/449     IPE240        1     S235JR         2195       2.0        67.4
    b/450     IPE270        1     S235JR         8486       8.8       305.8
    b/451     IPE270        1     S235JR         8226       8.6       296.4
    b/452     IPE270        1     S235JR         7966       8.3       287.0
    b/493     IPE240        1     S235JR         1816       1.7        55.7
    b/494     IPE240        2     S235JR         2736       2.5        84.0
    b/496     IPE240        1     S235JR         1843       1.7        56.5
    b/497     IPE240        1     S235JR         1820       1.7        55.8
    b/498     IPE270        1     S235JR         8465       8.8       305.0
    b/501     IPE330        2     S235JR         5892       7.4       289.6
    b/502     IPE270        1     S235JR         3171       3.3       114.3
    b/503     IPE270        1     S235JR         7122       7.4       256.6
    b/504     IPE270        2     S235JR         9068       9.4       326.7
    b/505     IPE270        1     S235JR         4278       4.5       154.1
    b/506     IPE270        2     S235JR         7120       7.4       256.5
    b/507     IPE270        3     S235JR         3150       3.3       113.5
    b/508     IPE270        3     S235JR          968       1.0        34.9
    b/509     IPE270        1     S235JR         4275       4.5       154.0
    b/510     IPE330        1     S235JR         7130       8.9       350.4
    b/511     IPE330        1     S235JR         9068      11.4       445.6
    b/512     IPE330        1     S235JR         7127       8.9       350.2
    b/515     IPE270        1     S235JR          989       1.0        35.6
    b/526     IPE270        2     S235JR         4570       4.8       164.6
    b/528     IPE270        1     S235JR         7140       7.4       257.3
    b/530     IPE270        1     S235JR         7991       8.3       287.9
    b/531     IPE270        1     S235JR         8228       8.6       296.5
    b/532     IPE270        1     S235JR         8737       9.1       314.8
    b/533     IPE270        1     S235JR         9070       9.4       326.8
    b/534     IPE270        1     S235JR         9085       9.5       327.4
    b/535     IPE330        1     S235JR         7150       9.0       351.4
    b/536     IPE330        1     S235JR         9185      11.5       451.4
    b/537     IPE330        1     S235JR         7222       9.1       354.9
    b/538     IPE330        1     S235JR         5894       7.4       289.6
    b/539     IPE330        1     S235JR         5912       7.4       290.5
    b/540     IPE240        2     S235JR         1950       1.8        59.8
    b/541     IPE240        2     S235JR         1967       1.8        60.4
    b/542     IPE240        1     S235JR         1741       1.6        53.4
    b/543     IPE240        1     S235JR         1755       1.6        53.8
    b/544     IPE240        2     S235JR          310       0.3         9.5
    b/545     IPE240        1     S235JR         1750       1.6        53.7
    b/546     IPE240        2     S235JR         1763       1.6        54.1
    b/547     IPE270        1     S235JR         1982       2.1        71.4
    b/548     IPE240        1     S235JR         1775       1.6        54.5
    b/549     IPE240        1     S235JR         1865       1.7        57.2
    b/550     IPE240        2     S235JR         1769       1.6        54.3
    b/552     IPE270        1     S235JR          820       0.9        29.6
    b/553     IPE270        2     S235JR         3911       4.1       140.9
    b/554     IPE270        1     S235JR         3900       4.1       140.5
    b/555     IPE270        3     S235JR          575       0.6        20.7
    b/558     IPE240        2     S235JR         2160       2.0        66.3
    b/559     IPE240        1     S235JR          410       0.4        12.6
    b/565     IPE270        1     S235JR         3843       4.0       138.5
    b/566     IPE270        1     S235JR         3860       4.0       139.1
    b/569     IPE270        1     S235JR         3890       4.0       140.2
    b/570     IPE270        1     S235JR          833       0.9        30.0
    b/571     IPE270        1     S235JR          587       0.6        21.2
    b/576     IPE270        1     S235JR         7551       7.9       272.1
    b/577     IPE270        6     S235JR         7257       7.6       261.5
    b/578     IPE400        1     S235JR         7778      11.4       515.9
    b/579     IPE400        2     S235JR         5880       8.6       390.0
    b/580     IPE400        1     S235JR         7877      11.6       522.5
    b/581     IPE270        1     S235JR         7378       7.7       265.8
    b/582     IPE270        1     S235JR         6754       7.0       243.4
    b/583     IPE270        4     S235JR         6757       7.0       243.5
    b/584     IPE270        1     S235JR         6873       7.2       247.7
    b/585     IPE270        2     S235JR         6989       7.3       251.8
    b/586     IPE270        2     S235JR         7108       7.4       256.1
    b/587     IPE270        1     S235JR         7338       7.6       264.4
    b/588     IPE270        1     S235JR         7451       7.8       268.5
    b/589     IPE270        2     S235JR         7512       7.8       270.7
    b/590     IPE270        1     S235JR         7525       7.8       271.1
    b/591     IPE270        1     S235JR         7482       7.8       269.6
    b/592     IPE270        1     S235JR         7363       7.7       265.3
    b/593     IPE270        1     S235JR         6871       7.2       247.6
    b/594     IPE400        1     S235JR         7874      11.6       522.3
    b/595     IPE270        1     S235JR         7500       7.8       270.2
    b/596     IPE270        1     S235JR         5154       5.4       185.7
    b/597     IPE270        2     S235JR         6988       7.3       251.8
    b/598     IPE270        1     S235JR         7105       7.4       256.0
    b/599     IPE270        1     S235JR         7357       7.7       265.1
    b/600     IPE270        1     S235JR         7475       7.8       269.3
    b/601     IPE270        1     S235JR         7530       7.8       271.3
    b/602     IPE270        1     S235JR         7461       7.8       268.8
    b/603     IPE270        1     S235JR         7342       7.6       264.6
    b/604     IPE270        1     S235JR         7106       7.4       256.1
    b/605     IPE270        1     S235JR         3525       3.7       127.0
    b/606     IPE240        4     S235JR          417       0.4        12.8
    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 2
     CONTRACT:  CTIB 2026                                   Date: 08.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    b/607     IPE270        1     S235JR          894       0.9        32.2
    b/608     IPE270        1     S235JR         6729       7.0       242.5
    b/609     IPE400        1     S235JR         7777      11.4       515.8
    b/610     IPE400        1     S235JR         5892       8.6       390.8
    b/611     IPE400        1     S235JR         5900       8.7       391.4
    b/612     IPE270        1     S235JR         7281       7.6       262.3
    b/783     UPN160        2     S235JR        70197      38.6      1322.5
    b/785     IPE160        1     S235JR          606       0.4         9.6
    b/786     IPE160        24    S235JR          595       0.4         9.4
    b/787     IPE160        2     S235JR          598       0.4         9.4
    b/789     IPE160        1     S235JR         1842       1.1        29.0
    b/790     IPE200        1     S235JR          784       0.6        17.5
    b/811     IPE200        3     S235JR          788       0.6        17.6
    b/812     IPE200        1     S235JR         1910       1.5        42.7
    b/813     IPE200        1     S235JR         1929       1.5        43.2
    b/814     IPE200        1     S235JR         1990       1.5        44.5
    b/816     IPE160        27    S235JR          600       0.4         9.5
    b/819     UPN160        1     S235JR        28921      15.9       544.9
    b/820     UPN160        1     S235JR        28924      15.9       544.9
    b/824     IPE160        2     S235JR         2094       1.3        33.0
    b/826     IPE160        4     S235JR         1505       0.9        23.7
    b/827     IPE160        1     S235JR         1521       0.9        24.0
    b/828     IPE200        17    S235JR          888       0.7        19.9
    b/829     IPE200        1     S235JR          939       0.7        21.0
    b/830     IPE200        1     S235JR          936       0.7        20.9
    b/831     IPE200        2     S235JR          891       0.7        19.9
    b/832     IPE200        1     S235JR          887       0.7        19.8
    b/833     IPE160        1     S235JR         1568       1.0        24.7
    c/15      []450*38      4     S235JR        19650      35.4      9659.9
    --------------------------------------------------------------------------
                           Total for  279  members:     19568.3  10190716.6
    --------------------------------------------------------------------------
