    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 07.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    1048      PL19*450      4     S235JR         1459       0.8        51.0
    1049      PL10*100      8     S235JR          360       0.1         2.8
    1051      PL10*110      5     S235JR          190       0.0         1.6
    1183      PL6*200       1     S235JR          300       0.1         2.8
    1381      PL10*110      13    S235JR          360       0.1         3.1
    1386      PL10*110      10    S235JR          260       0.1         2.2
    1387      PL10*209      15    S235JR          516       0.2         5.7
    1388      PL10*196      47    S235JR          373       0.1         4.2
    1389      PL10*196      19    S235JR          373       0.1         5.0
    1390      PL6*209       11    S235JR          516       0.2         3.7
    1391      PL10*196      1     S235JR          373       0.1         4.2
    1392      PL10*167      5     S235JR          220       0.1         2.7
    1393      PL10*174      1     S235JR          250       0.1         3.0
    1394      PL10*174      6     S235JR          250       0.1         3.0
    1395      PL10*209      1     S235JR          516       0.2         6.5
    1396      PL10*110      50    S235JR          290       0.1         2.5
    1397      PL10*167      1     S235JR          220       0.1         2.7
    1398      PL10*196      1     S235JR          373       0.1         5.3
    1399      PL10*209      7     S235JR          516       0.2         6.3
    1410      PL10*167      4     S235JR          220       0.1         2.7
    1411      PL10*174      4     S235JR          250       0.1         3.3
    1412      PL6.2*75      4     S235JR          150       0.0         0.2
    Hormi***  700*400       4     Conc***        8760      19.8      5886.7
    Hormi***  700*250       1     Conc***        3800       7.6      1596.0
    Hormi***  700*150       2     Conc***        2430       4.3       612.3
    Hormi***  700*150       2     Conc***        6080      10.5      1532.2
    Hormi***  700*400       2     Conc***        7250      16.5      4872.0
    Hormi***  700*400       1     Conc***        7601      17.3      5108.2
    Hormi***  []250*80      1     Conc***        3800       3.9       496.1
    Hormi***  950*600       2     Conc***        8500      27.5     11628.0
    Hormi***  950*600       1     Conc***       13225      42.1     18091.4
    Hormi***  950*600       1     Conc***        7582      24.6     10371.8
    Hormi***  950*600       1     Conc***       13219      42.1     18083.1
    Hormi***  950*600       1     Conc***        8516      27.5     11650.2
    Hormi***  950*600       1     Conc***       13222      42.1     18087.1
    Hormi***  950*600       1     Conc***        7650      24.9     10465.2
    Hormi***  700*600       1     Conc***       13166      35.1     13271.5
    Hormi***  700*600       1     Conc***        8516      23.0      8584.1
    Hormi***  700*400       1     Conc***        8500      19.3      5712.0
    Hormi***  D1400         8     C20/25        40450     180.9    149170.1
    Hormi***  CUT500*8500   4     C20/25       101250    1831.0   1032750.0
    Hormi***  CUT400*8760   2     C20/25       101250    1861.9    851472.0
    Hormi***  CUT400*7250   2     C20/25       101250    1554.9    704700.0
    Hormi***  CUT500*7600   1     C20/25       101250    1647.8    923400.0
    Hormi***  D700          4     Conc***       23900      53.3     21999.8
    b/62      []200*100*4   3     S235JR         3300       2.0        60.5
    b/318     []200*100*4   1     S235JR         2870       1.7        52.6
    b/319     []200*100*4   1     S235JR         2875       1.7        52.7
    b/320     IPE330        1     S235JR         8735      11.0       429.2
    b/393     IPE270        1     S235JR         6416       6.7       231.2
    b/403     IPE400        1     S235JR         3355       4.9       222.6
    b/416     IPE270        1     S235JR         6711       7.0       241.8
    b/455     IPE270        1     S235JR         8029       8.4       289.3
    b/456     IPE270        1     S235JR         8269       8.6       297.9
    b/457     IPE270        1     S235JR         8502       8.9       306.3
    b/458     IPE270        1     S235JR         7472       7.8       269.2
    b/466     IPE400        1     S235JR         6411       9.4       425.3
    b/469     IPE270        1     S235JR         6690       7.0       241.1
    b/474     IPE270        1     S235JR         3342       3.5       120.4
    b/712     IPE270        1     S235JR         8747       9.1       315.2
    b/994     IPE400        1     S235JR         3462       5.1       229.7
    b/1051    IPE270        1     S235JR         8526       8.9       307.2
    b/1052    IPE270        1     S235JR         8266       8.6       297.9
    b/1053    IPE270        1     S235JR         8000       8.3       288.3
    b/1054    IPE270        1     S235JR         7749       8.1       279.2
    b/1137    IPE550        2     S235JR         5064       9.5       532.7
    b/1138    IPE550        2     S235JR         6662      12.5       700.7
    b/1148    IPE400        1     S235JR         2157       3.2       143.1
    b/1149    IPE400        1     S235JR         8265      12.1       548.2
    b/1150    IPE400        1     S235JR         8238      12.1       546.4
    b/1152    IPE400        1     S235JR         3565       5.2       236.5
    b/1153    IPE400        1     S235JR         1717       2.5       113.9
    b/1154    IPE400        1     S235JR         5876       8.6       389.8
    b/1155    IPE400        1     S235JR         8293      12.2       550.1
    b/1156    IPE400        1     S235JR         6712       9.8       445.2
    b/1157    IPE400        2     S235JR         6004       8.8       398.3
    b/1158    IPE270        1     S235JR         6252       6.5       225.3
    b/1159    IPE270        2     S235JR         6079       6.3       219.0
    b/1160    IPE270        1     S235JR         2197       2.3        79.2
    b/1161    IPE270        1     S235JR         2184       2.3        78.7
    b/1162    IPE270        1     S235JR         2300       2.4        82.9
    b/1163    IPE270        1     S235JR         2591       2.7        93.4
    b/1164    IPE270        1     S235JR         2713       2.8        97.8
    b/1165    IPE270        1     S235JR         2753       2.9        99.2
    b/1166    IPE270        1     S235JR         2670       2.8        96.2
    b/1167    IPE270        1     S235JR         2757       2.9        99.3
    b/1168    IPE400        1     S235JR         6231       9.1       413.3
    b/1169    IPE400        1     S235JR         6483       9.5       430.0
    b/1170    IPE400        1     S235JR         3877       5.7       257.2
    b/1171    IPE400        1     S235JR         8365      12.3       554.8
    b/1172    IPE400        1     S235JR         6756       9.9       448.1
    b/1173    IPE400        1     S235JR         7654      11.2       507.7
    b/1174    IPE400        1     S235JR         6299       9.2       417.8
    b/1175    IPE400        1     S235JR         5371       7.9       356.3
    b/1176    IPE400        1     S235JR         7724      11.3       512.4
    b/1177    IPE400        2     S235JR         3573       5.2       237.0
    b/1178    IPE400        1     S235JR         3685       5.4       244.4
    b/1179    IPE400        2     S235JR         8834      13.0       586.0
    b/1180    IPE400        1     S235JR         4126       6.1       273.7
    b/1181    IPE400        1     S235JR          914       1.3        60.6
    b/1182    IPE270        1     S235JR         6592       6.9       237.5
    b/1183    IPE270        1     S235JR         6473       6.7       233.2
    b/1184    IPE270        1     S235JR         2385       2.5        85.9
    b/1185    IPE270        1     S235JR         2284       2.4        82.3
    b/1186    IPE270        3     S235JR         6066       6.3       218.6
    b/1187    IPE270        12    S235JR         3845       4.0       138.5
    b/1188    IPE270        2     S235JR         3782       3.9       136.3
    b/1189    IPE400        1     S235JR         8935      13.1       592.7
    b/1190    IPE400        1     S235JR         3735       5.5       247.8
    b/1191    IPE400        1     S235JR         3627       5.3       240.6
    b/1192    IPE400        1     S235JR         8431      12.4       559.3
    b/1193    IPE400        1     S235JR         2715       4.0       180.1
    b/1194    IPE400        1     S235JR         1558       2.3       103.3
    b/1195    IPE400        1     S235JR         7975      11.7       529.0
    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 2
     CONTRACT:  CTIB 2026                                   Date: 07.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    b/1196    IPE400        1     S235JR         4153       6.1       275.5
    b/1197    IPE400        1     S235JR         6698       9.8       444.3
    b/1198    IPE400        1     S235JR         4121       6.0       273.3
    b/1199    IPE400        1     S235JR         6508       9.5       431.7
    b/1200    IPE400        1     S235JR         4158       6.1       275.8
    b/1201    IPE400        1     S235JR         6771       9.9       449.1
    b/1202    IPE400        1     S235JR         3456       5.1       229.3
    b/1203    IPE400        1     S235JR         8238      12.1       546.4
    b/1204    IPE400        1     S235JR         3127       4.6       207.4
    b/1205    IPE400        1     S235JR          873       1.3        57.9
    b/1206    IPE400        2     S235JR         8175      12.0       542.2
    b/1207    IPE400        1     S235JR         5998       8.8       397.8
    b/1208    IPE550        2     S235JR         3566       6.7       375.1
    b/1209    IPE550        2     S235JR         8277      15.5       870.7
    b/1210    IPE330        3     S235JR         9030      11.3       443.7
    b/1211    IPE330        5     S235JR         9030      11.3       443.7
    b/1212    IPE270        2     S235JR         6525       6.8       235.1
    b/1213    IPE400        1     S235JR         6463       9.5       428.7
    b/1214    IPE270        1     S235JR         5614       5.8       202.3
    b/1215    IPE270        1     S235JR         3972       4.1       143.1
    b/1216    IPE270        2     S235JR          756       0.8        27.2
    b/1217    IPE270        1     S235JR         6646       6.9       239.5
    b/1218    IPE270        1     S235JR         3319       3.5       119.6
    b/1219    IPE270        1     S235JR         1590       1.7        57.3
    b/1220    IPE270        1     S235JR         1521       1.6        54.8
    b/1221    IPE270        2     S235JR         3507       3.7       126.3
    b/1222    IPE270        1     S235JR         3443       3.6       124.1
    b/1223    IPE270        1     S235JR         6426       6.7       231.5
    b/1224    IPE270        1     S235JR         6305       6.6       227.2
    b/1225    IPE270        1     S235JR         6183       6.4       222.8
    b/1226    IPE270        2     S235JR         3597       3.7       129.6
    b/1227    IPE270        1     S235JR         2707       2.8        97.5
    b/1228    IPE240        1     S235JR         3971       3.7       121.9
    b/1229    IPE240        3     S235JR          750       0.7        23.0
    b/1230    IPE240        1     S235JR          872       0.8        26.7
    b/1231    IPE400        1     S235JR         3535       5.2       234.5
    b/1232    IPE400        1     S235JR         3684       5.4       244.3
    b/1233    IPE330        1     S235JR         9030      11.3       443.7
    b/1234    IPE400        1     S235JR         8834      13.0       586.0
    b/1235    IPE400        1     S235JR         3685       5.4       244.4
    b/1236    IPE240        1     S235JR         2198       2.0        67.4
    b/1237    IPE240        1     S235JR         2198       2.0        67.4
    b/1238    IPE240        1     S235JR         2880       2.7        88.4
    b/1239    IPE240        1     S235JR         2015       1.9        61.8
    b/1240    IPE240        1     S235JR         2878       2.7        88.3
    b/1241    IPE240        1     S235JR         2013       1.9        61.8
    b/1242    IPE400        1     S235JR         6485       9.5       430.2
    c/8       Ø406*12       2     S235JR        19934      25.4      2312.5
    c/12      Ø305*10       18    S235JR         9050       8.7       654.2
    c/13      Ø406*12       1     S235JR         8085      10.3       937.9
    c/14      Ø406*12       2     S235JR         7700       9.8       893.3
    c/42      Ø305*10       1     S235JR         8940       8.6       646.2
    c/45      Ø305*10       2     S235JR         7700       7.4       556.6
    c/46      Ø305*10       3     S235JR         8085       7.7       584.4
    c/47      Ø406*12       1     S235JR         8084      10.3       937.8
    c/48      Ø305*10       3     S235JR         7600       7.3       549.4
    --------------------------------------------------------------------------
                           Total for  449  members:     19301.1   9697893.7
    --------------------------------------------------------------------------
