    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 08.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    b/820     UPN160        1     S235JR        28924      15.9       544.9
    b/826     IPE160        4     S235JR         1505       0.9        23.7
    b/827     IPE160        3     S235JR         1521       0.9        24.0
    b/828     IPE200        17    S235JR          888       0.7        19.9
    b/829     IPE200        1     S235JR          939       0.7        21.0
    b/830     IPE200        1     S235JR          936       0.7        20.9
    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 2
     CONTRACT:  CTIB 2026                                   Date: 08.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    b/831     IPE200        2     S235JR          891       0.7        19.9
    b/832     IPE200        1     S235JR          887       0.7        19.8
    b/833     IPE160        1     S235JR         1568       1.0        24.7
    b/1355    IPE270        1     S235JR         5254       5.5       189.3
    b/1356    IPE270        1     S235JR         7355       7.7       265.0
    b/1357    IPE270        1     S235JR         6848       7.1       246.8
    b/1358    IPE270        1     S235JR         6870       7.2       247.5
    c/25      []350*25      4     S235JR        52800      74.0     13470.6
    --------------------------------------------------------------------------
                           Total for  263  members:     19842.5  10115002.5
    --------------------------------------------------------------------------
