    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 27.04.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    1039      PL6*239       2     S235JR          398       0.2         3.5
    1048      PL19*450      4     S235JR         1459       0.8        51.0
    1049      PL10*100      2     S235JR          360       0.1         2.8
    1053      PL10*110      3     S235JR          315       0.1         2.7
    1057      PL6*90        2     S235JR          421       0.1         1.8
    1062      PL16*440      6     S235JR         6000       5.5       331.6
    1063      PL16*440      2     S235JR         5000       4.6       276.3
    1070      PL6*239       2     S235JR          398       0.2         3.5
    1077      PL10*90.2     1     S235JR          360       0.1         2.5
    1088      PL19*600      1     S235JR          300       0.4        26.8
    1092      PL19*600      1     S235JR          300       0.4        26.8
    1099      PL10*100      1     S235JR          360       0.1         2.8
    1100      PL19*952      2     S235JR         1719       1.3        90.2
    1106      PL19*192      4     S235JR         1320       0.6        37.7
    1107      PL19*191      4     S235JR          700       0.3        19.9
    1108      PL19*190      2     S235JR         1321       0.6        37.3
    1109      PL19*315      2     S235JR         1324       0.7        49.9
    1110      PL19*456      2     S235JR         1981       1.2        83.7
    1111      PL19*192      3     S235JR         1320       0.6        37.7
    1113      PL19*242      1     S235JR          700       0.4        25.1
    1114      PL19*350      1     S235JR          700       0.5        36.5
    1115      PL10*350      1     S235JR          493       0.4        13.5
    1116      PL19*567      1     S235JR         1318       1.1        74.9
    1117      PL16*440      3     S235JR         1063       1.0        58.7
    1118      PL16*440      1     S235JR          500       0.5        27.6
    1121      PL19*250      1     S235JR         1966       1.1        73.3
    1122      PL19*494      1     S235JR         1982       1.5       108.3
    1123      PL19*549      1     S235JR         2063       1.4        91.9
    1124      PL19*553      1     S235JR         2062       1.4        92.1
    1127      PL19*422      2     S235JR         1868       1.1        72.0
    1128      PL19*493      2     S235JR         1855       1.1        71.5
    1129      PL16*440      2     S235JR         1050       1.0        58.0
    1130      PL16*440      1     S235JR          899       0.8        49.7
    1131      PL16*440      1     S235JR          598       0.6        33.0
    1135      PL10*250      1     S235JR         1580       0.7        27.9
    1136      PL10*1354     2     S235JR         1876       1.8        66.7
    1137      PL19*250      3     S235JR         1840       1.0        68.6
    1138      PL19*450      2     S235JR         1840       1.2        83.8
    1139      PL19*450      1     S235JR         1840       1.1        74.0
    1140      PL10*1354     1     S235JR         1602       1.4        53.6
    1142      PL10*1354     1     S235JR         1602       1.4        53.2
    1144      PL19*938      2     S235JR         1981       1.5       104.9
    1145      PL10*83.9     1     S235JR          360       0.1         2.4
    1146      PL19*802      2     S235JR         1605       1.1        77.3
    1149      PL19*200      1     S235JR         1210       0.5        36.1
    1150      PL19*200      2     S235JR          811       0.4        24.2
    1151      PL19*736      2     S235JR         1200       0.8        54.0
    1152      PL19*200      1     S235JR          811       0.4        24.2
    1154      PL19*271      1     S235JR         1210       0.6        37.1
