    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 06.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    1062      PL16*440      6     S235JR         6000       5.5       331.6
    1063      PL16*440      2     S235JR         5000       4.6       276.3
    1108      PL19*190      2     S235JR         1321       0.6        37.3
    1109      PL19*315      2     S235JR         1324       0.7        49.9
    1111      PL19*192      2     S235JR         1320       0.6        37.7
    1112      PL19*191      1     S235JR         1332       0.6        37.9
    1117      PL16*440      3     S235JR         1063       1.0        58.7
    1118      PL16*440      1     S235JR          500       0.5        27.6
    1123      PL19*549      1     S235JR         2063       1.4        91.9
    1124      PL19*553      1     S235JR         2062       1.4        92.1
    1129      PL16*440      1     S235JR         1050       1.0        58.0
    1138      PL19*450      2     S235JR         1840       1.2        83.8
    1193      PL19*190      2     S235JR          700       0.3        19.8
    1211      PL16*780      2     S235JR         1162       1.2        73.7
    1212      PL13*90.2     2     S235JR          305       0.1         2.8
    1214      PL19*190      1     S235JR         1122       0.5        31.7
    1215      PL19*191      1     S235JR         1332       0.6        37.9
    1216      PL19*190      1     S235JR         1122       0.5        31.7
    1221      PL10*89.5     1     S235JR          360       0.1         2.5
    1224      PL19*308      2     S235JR         1797       1.0        64.7
    1228      PL19*200      2     S235JR          810       0.4        24.2
    1238      PL6*120       1     S235JR          180       0.0         1.0
    1242      PL6*190       18    S235JR          180       0.1         1.2
    1284      PL19*308      1     S235JR         1797       1.1        74.4
    1293      PL10*200      1     S235JR          810       0.3        12.7
    1296      PL19*308      1     S235JR         1797       1.0        64.7
    1298      PL19*317      4     S235JR         1798       1.0        65.0
    1304      PL19*450      2     S235JR         1840       1.2        83.8
    1305      PL19*313      2     S235JR         1537       0.8        52.6
    1308      PL19*313      1     S235JR         1537       0.9        62.3
    1341      PL19*457      4     S235JR         1962       1.2        81.9
    1374      PL19*350      2     S235JR         1078       0.6        40.8
    1378      PL16*440      1     S235JR         2219       2.0       122.6
    Hormi***  700*500       1     Conc***       13222      32.4     11106.1
    Hormi***  700*400       4     Conc***        8760      19.8      5886.7
    Hormi***  700*250       1     Conc***        3800       7.6      1596.0
    Hormi***  700*150       2     Conc***        2430       4.3       612.3
    Hormi***  700*150       2     Conc***        6080      10.5      1532.2
    Hormi***  700*400       1     Conc***        7250      16.5      4872.0
    Hormi***  []250*80      1     Conc***        3800       3.9       496.1
    Hormi***  700*500       1     Conc***        8528      21.2      7163.4
    Hormi***  700*500       1     Conc***       13332      32.7     11199.2
    Hormi***  700*400       1     Conc***        7894      17.9      5304.5
    Hormi***  700*600       2     Conc***        8678      23.4      8747.3
    Hormi***  700*500       1     Conc***        4708      12.0      3954.6
    Hormi***  700*400       1     Conc***        7851      17.8      5276.2
    Hormi***  700*500       1     Conc***       13321      32.7     11189.4
    Hormi***  700*500       1     Conc***        7535      18.8      6329.8
    Hormi***  700*500       1     Conc***        8500      21.1      7140.0
    Hormi***  CUT500*8500   4     C20/25       101250    1831.0   1032750.0
    Hormi***  CUT400*8760   2     C20/25       101250    1861.9    851472.0
    Hormi***  CUT400*7250   2     C20/25       101250    1554.9    704700.0
    Hormi***  CUT500*7600   1     C20/25       101250    1647.8    923400.0
    Hormi***  D700          4     Conc***       23900      53.3     21999.8
    b/4       HEA450        1     S235JR         8248      16.6      1152.5
    b/8       HEA450        1     S235JR         9254      18.6      1293.1
    b/9       HEA450        1     S235JR         2826       5.7       394.8
    b/11      HEA450        1     S235JR         2822       5.7       394.3
    b/12      HI830-10-***  1     S235JR         2615       6.9       416.8
    b/14      HI830-10-***  1     S235JR         7126      18.9      1135.6
    b/15      HI830-10-***  1     S235JR         7126      18.9      1135.6
    b/16      HI830-11-***  13    S235JR        11112      27.5      1379.5
    b/63      HEA450        2     S235JR         1074       2.2       150.1
    b/86      IPE240        2     S235JR         5214       4.8       160.0
    b/94      IPE240        2     S235JR         4459       4.1       136.8
    b/96      IPE240        3     S235JR         1057       1.0        32.4
    b/97      IPE240        1     S235JR          885       0.8        27.2
    b/99      IPE240        1     S235JR         3262       3.0       100.1
    b/101     IPE240        2     S235JR         1632       1.5        50.1
    b/105     IPE240        4     S235JR         6252       5.8       191.8
    b/116     IPE300        1     S235JR         7904       9.2       333.8
    b/117     IPE300        1     S235JR         8422       9.8       355.7
    b/118     IPE300        1     S235JR         8664      10.0       365.9
    b/119     IPE300        1     S235JR         8906      10.3       376.1
    b/120     IPE300        1     S235JR         9148      10.6       386.3
    b/124     IPE240        1     S235JR         2874       2.7        88.2
    b/126     IPE240        2     S235JR         2222       2.0        68.2
    b/134     HEA450        1     S235JR          625       1.3        87.4
    b/140     IPE160        6     S235JR          314       0.2         4.9
    b/143     IPE160        13    S235JR          367       0.2         5.8
    b/144     IPE160        32    S235JR          522       0.3         8.2
    b/146     IPE160        3     S235JR          402       0.3         6.3
    b/150     UPN160        2     S235JR         4098       2.3        77.2
