    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 05.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    1142      PL10*1354     1     S235JR         1602       1.4        53.2
    1144      PL19*938      2     S235JR         1981       1.5       104.9
    1145      PL10*83.9     3     S235JR          360       0.1         2.4
    1146      PL19*802      2     S235JR         1605       1.1        77.3
    1148      PL10*90       1     S235JR          421       0.1         2.9
    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 2
     CONTRACT:  CTIB 2026                                   Date: 05.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    1149      PL19*200      1     S235JR         1210       0.5        36.1
    1150      PL19*200      2     S235JR          811       0.4        24.2
    1151      PL19*736      2     S235JR         1200       0.8        54.0
    1152      PL19*200      1     S235JR          811       0.4        24.2
    1153      PL6*90        1     S235JR          421       0.1         1.8
    1154      PL19*271      1     S235JR         1210       0.6        37.1
    1156      PL6*239       1     S235JR          398       0.2         3.8
    1160      PL6*200       17    S235JR          421       0.1         2.8
    1162      PL6*254       4     S235JR          398       0.2         3.7
    1164      PL10*400      1     S235JR          500       0.4        15.7
    1165      PL6*180       109   S235JR          240       0.1         2.0
    1166      PL16*400      1     S235JR          500       0.4        25.1
    1167      PL10*300      39    S235JR          450       0.3        10.6
    1169      PL6*150       32    S235JR          200       0.1         1.4
    1170      PL6*181       2     S235JR          279       0.1         1.9
    1171      PL6*167       2     S235JR          220       0.1         1.6
    1172      PL6*200       45    S235JR          421       0.1         2.8
    1173      PL6*167       19    S235JR          220       0.1         1.6
    1181      PL10*110      1     S235JR          970       0.2         8.4
    1182      PL10*110      4     S235JR          990       0.2         8.5
    1183      PL6*200       43    S235JR          300       0.1         2.8
    1186      PL10*244      1     S235JR          398       0.2         7.3
    1187      PL19*200      2     S235JR          800       0.4        23.9
    1188      PL6*90        2     S235JR          421       0.1         1.8
    1193      PL19*190      4     S235JR          700       0.3        19.8
    1195      PL6*90        296   S235JR          130       0.0         0.5
    1197      PL6*165       292   S235JR          139       0.0         1.0
    1198      PL6*140       3     S235JR          220       0.1         1.5
    1206      PL10*100      6     S235JR          615       0.1         4.8
    1207      PL19*600      2     S235JR          300       0.4        26.8
    1208      PL13*165      2     S235JR          305       0.1         5.1
    1209      PL10*120      4     S235JR          780       0.2         7.3
    1210      PL10*120      4     S235JR          390       0.1         3.7
    1211      PL16*780      2     S235JR         1162       1.2        73.7
    1212      PL13*90.2     2     S235JR          305       0.1         2.8
    1214      PL19*190      1     S235JR         1122       0.5        31.7
    1215      PL19*191      1     S235JR         1332       0.6        37.9
    1216      PL19*190      1     S235JR         1122       0.5        31.7
    1217      PL6*254       21    S235JR          398       0.2         3.7
    1218      PL6*234       2     S235JR          398       0.2         3.9
    1219      PL6*180       1     S235JR          421       0.1         3.0
    1220      PL6*234       1     S235JR          398       0.2         4.2
    1221      PL10*89.5     1     S235JR          360       0.1         2.5
    1223      PL550*10      4     S235JR          258       0.3        11.5
    1224      PL19*308      2     S235JR         1797       1.0        64.7
    1226      PL6*181       2     S235JR          279       0.1         1.9
    1227      PL6*167       12    S235JR          220       0.1         1.6
    1228      PL19*200      2     S235JR          810       0.4        24.2
    1231      PL6*254       1     S235JR          398       0.2         3.7
    1232      PL6*254       1     S235JR          398       0.2         4.0
    1233      PL6*200       1     S235JR          421       0.1         2.8
    1234      PL4*165       10    S235JR          421       0.1         1.2
    1235      PL6*195       24    S235JR          421       0.1         2.4
    1237      PL32*400      1     S235JR         2545       2.2       250.9
    1238      PL6*120       1     S235JR          180       0.0         1.0
    1239      PL20*210      20    S235JR         1000       0.5        33.0
    1240      PL6*90        13    S235JR          796       0.2         3.4
    1242      PL6*190       18    S235JR          180       0.1         1.2
    1245      PL20*264      20    S235JR         1300       0.7        53.9
    1250      PL10*100      2     S235JR          970       0.2         7.6
    1251      PL322*10      1     S235JR          328       0.2         8.6
